FREQ,TIME_FORMAT,TIME_PERIOD,GEO,UNIT,ISCED11,SEX,AGE,OBS_STATUS,OBS_VALUE,FREQ_DESC,TIME_FORMAT_DESC,TIME_PERIOD_DESC,OBS_STATUS_DESC,GEO_DESC,UNIT_DESC,ISCED11_DESC,SEX_DESC,AGE_DESC
A,P1Y,2006,PT,PC,TOTAL,F,Y15-74,,9,Annual,Annual,Year 2006,No data,Portugal,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2007,PT,PC,TOTAL,F,Y15-74,,9.7,Annual,Annual,Year 2007,No data,Portugal,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2008,PT,PC,TOTAL,F,Y15-74,,8.9,Annual,Annual,Year 2008,No data,Portugal,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2009,PT,PC,TOTAL,F,Y15-74,,10.3,Annual,Annual,Year 2009,No data,Portugal,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2010,PT,PC,TOTAL,F,Y15-74,,12.1,Annual,Annual,Year 2010,No data,Portugal,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2012,PT,PC,TOTAL,F,Y15-74,,15.7,Annual,Annual,Year 2012,No data,Portugal,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2013,PT,PC,TOTAL,F,Y15-74,,16.6,Annual,Annual,Year 2013,No data,Portugal,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2000,RO,PC,TOTAL,F,Y15-74,,6.6,Annual,Annual,Year 2000,No data,Romania,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2001,RO,PC,TOTAL,F,Y15-74,,6.2,Annual,Annual,Year 2001,No data,Romania,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2004,RO,PC,TOTAL,F,Y15-74,,6.2,Annual,Annual,Year 2004,No data,Romania,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2006,RO,PC,TOTAL,F,Y15-74,,6.1,Annual,Annual,Year 2006,No data,Romania,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2007,RO,PC,TOTAL,F,Y15-74,,5.4,Annual,Annual,Year 2007,No data,Romania,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2008,RO,PC,TOTAL,F,Y15-74,,4.7,Annual,Annual,Year 2008,No data,Romania,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2009,RO,PC,TOTAL,F,Y15-74,,5.8,Annual,Annual,Year 2009,No data,Romania,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2011,RO,PC,TOTAL,F,Y15-74,,6.5,Annual,Annual,Year 2011,No data,Romania,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2012,RO,PC,TOTAL,F,Y15-74,,6.1,Annual,Annual,Year 2012,No data,Romania,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2013,RO,PC,TOTAL,F,Y15-74,,6.3,Annual,Annual,Year 2013,No data,Romania,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2000,SE,PC,TOTAL,F,Y15-74,,5,Annual,Annual,Year 2000,No data,Sweden,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2002,SE,PC,TOTAL,F,Y15-74,,4.6,Annual,Annual,Year 2002,No data,Sweden,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2003,SE,PC,TOTAL,F,Y15-74,,5,Annual,Annual,Year 2003,No data,Sweden,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2004,SE,PC,TOTAL,F,Y15-74,,6.2,Annual,Annual,Year 2004,No data,Sweden,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2007,SE,PC,TOTAL,F,Y15-74,,6.5,Annual,Annual,Year 2007,No data,Sweden,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2008,SE,PC,TOTAL,F,Y15-74,,6.6,Annual,Annual,Year 2008,No data,Sweden,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2009,SE,PC,TOTAL,F,Y15-74,,8,Annual,Annual,Year 2009,No data,Sweden,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
